"applicationId","version","meta","name","public","snapshot"
"sites-component-common-info","1.6.0","{""id"": ""sites-component-common-info"", ""name"": ""sites-component-common-info"", ""version"": ""1.6.0"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCommonInfoLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_00bb7e0f_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.00bb7e0f.css""}, {""id"": ""rt_main_863efe46_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.863efe46.js""}]}}]}","sites-component-common-info","false","false"
"news","0.0.1-SNAPSHOT","{""id"": ""news"", ""name"": ""news"", ""version"": ""0.0.1-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onNewsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_ab914461_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.ab914461.chunk.css""}, {""id"": ""rt_main_79edec29_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.79edec29.chunk.js""}, {""id"": ""rt_runtime-main_84bd9d9a_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.84bd9d9a.js""}, {""id"": ""rt_2_0120f656_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.0120f656.chunk.js""}]}}]}","news","false","false"
"person-owner-mapping-management","1.0.0-SNAPSHOT","{""id"": ""person-owner-mapping-management"", ""name"": ""Person owner mapping UI"", ""version"": ""1.0.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onPersonOwnerMappingManagementLoaded"", ""targetElement"": "".person-owner-mapping-management#application-entry"", ""content"": ""<div><div id=\""hds-toast-portal\""></div><div id=\""person-owner-mapping-management\""></div></div>"", ""dependencies"": {""assets"": [{""id"": ""person-owner-mapping-management_main_ed133703_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.ed133703.chunk.css""}, {""id"": ""person-owner-mapping-management_main_2b9cea61_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.2b9cea61.chunk.js""}, {""id"": ""person-owner-mapping-management_runtime-main_d8e1ce88_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d8e1ce88.js""}, {""id"": ""person-owner-mapping-management_2_90af9598_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.90af9598.chunk.js""}]}}]}","Person owner mapping UI","false","false"
"person-owner-mapping-management","1.2.0-SNAPSHOT","{""id"": ""person-owner-mapping-management"", ""name"": ""Person owner mapping UI"", ""version"": ""1.2.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onPersonOwnerMappingManagementLoaded"", ""targetElement"": "".person-owner-mapping-management#application-entry"", ""content"": ""<div><div id=\""hds-toast-portal\""></div><div id=\""person-owner-mapping-management\""></div></div>"", ""dependencies"": {""assets"": [{""id"": ""person-owner-mapping-management_main_ed133703_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.ed133703.chunk.css""}, {""id"": ""person-owner-mapping-management_main_2b9cea61_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.2b9cea61.chunk.js""}, {""id"": ""person-owner-mapping-management_runtime-main_d8e1ce88_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.d8e1ce88.js""}, {""id"": ""person-owner-mapping-management_2_90af9598_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.90af9598.chunk.js""}]}}, {""targetElement"": "".nav.org-menu"", ""content"": ""<li><a href=\""/{{organizationId}}/application/person-owner-mapping-management#/?sourceOrganizationId={{organizationId}}_newLead&destinationOrganizationId={{organizationId}}\"">Sync Platform - Person Owner Mapping</li>"", ""dependencies"": {}}]}","Person owner mapping UI","false","false"
"sites-component-cards","0.0.1-SNAPSHOT","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""0.0.1-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_fbe191dd_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.fbe191dd.chunk.css""}, {""id"": ""rt_main_5a1004eb_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.5a1004eb.chunk.js""}, {""id"": ""rt_runtime-main_a002c063_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.a002c063.js""}, {""id"": ""rt_2_94f4f4cc_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.94f4f4cc.chunk.js""}]}}]}","sites-component-cards","false","false"
"sites-component-cards","0.1.0-SNAPSHOT","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""0.1.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_06ab9b43_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.06ab9b43.chunk.css""}, {""id"": ""rt_main_10cf7f19_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.10cf7f19.chunk.js""}, {""id"": ""rt_runtime-main_2c763022_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.2c763022.js""}, {""id"": ""rt_2_e6885a65_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6885a65.chunk.js""}]}}]}","sites-component-cards","false","false"
"sites-component-cards","0.3.0-SNAPSHOT","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""0.3.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_06ab9b43_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.06ab9b43.chunk.css""}, {""id"": ""rt_main_3daa45dd_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.3daa45dd.chunk.js""}, {""id"": ""rt_runtime-main_2c763022_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.2c763022.js""}, {""id"": ""rt_2_e6885a65_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6885a65.chunk.js""}]}}]}","sites-component-cards","false","false"
"sites-component-cards","0.4.0-SNAPSHOT","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""0.4.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_914272d4_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.914272d4.chunk.css""}, {""id"": ""rt_main_a4b5ca4b_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.a4b5ca4b.chunk.js""}, {""id"": ""rt_runtime-main_2c763022_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.2c763022.js""}, {""id"": ""rt_2_e6885a65_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6885a65.chunk.js""}]}}]}","sites-component-cards","false","false"
"sites-component-cards","1.0.0","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""1.0.0"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_914272d4_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.914272d4.chunk.css""}, {""id"": ""rt_main_6fd469e1_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.6fd469e1.chunk.js""}, {""id"": ""rt_runtime-main_2c763022_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.2c763022.js""}, {""id"": ""rt_2_e6885a65_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6885a65.chunk.js""}]}}]}","sites-component-cards","false","false"
"sites-component-cards","1.1.0-SNAPSHOT","{""id"": ""sites-component-cards"", ""name"": ""sites-component-cards"", ""version"": ""1.1.0-SNAPSHOT"", ""dependencies"": {""assets"": []}, ""views"": [{""eventName"": ""onCardsLoaded"", ""dependencies"": {""assets"": [{""id"": ""rt_main_914272d4_chunk_css"", ""content-type"": ""text/css"", ""source-ref"": ""static/css/main.914272d4.chunk.css""}, {""id"": ""rt_main_6fd469e1_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/main.6fd469e1.chunk.js""}, {""id"": ""rt_runtime-main_2c763022_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/runtime-main.2c763022.js""}, {""id"": ""rt_2_e6885a65_chunk_js"", ""content-type"": ""application/javascript"", ""source-ref"": ""static/js/2.e6885a65.chunk.js""}]}}]}","sites-component-cards","false","false"
